pagina	texto
1	¡Despertad! MEG Ryan and Alica ON BOAT ACE Counters... ENERO DE 2013 Cómo criar hijos considerados en la era del yo primero
2	"TEMA DE PORTADA ¡Despertad! EN ESTE NÚMERO JW. ORG TM MÁS INFORMACIÓN EN LİNEA www.jw.orges JÓVENES Cómo criar hijos considerados en la era del yo primero PÁGINAS 8 A 11 LOS JÓVENES PREGUNTAN ¿QUÉ HAGO SI ME ACOSAN SEXUALMENTE? ""Cuando tenía unos 13 o 14 años recuerda Coretta-, los chicos de la escuela me estiraban la parte trasera del sostén y la soltaban. Entonces me decían cosas sucias como: 'Ya verás lo bien que te vas a sentir cuando lo hagas conmigo""."" ¿Qué harías tú en una situación como esta? Es más probable que logres detener el acoso sexual si sabes cómo reaccionar ante él. NIÑOS 3 OBSERVANDO EL MUNDO 4 AYUDA PARA LAS FAMILIAS Cómo comunicarse con su hijo adolescente 6 ENTREVISTA Una bioquímica explica por qué tiene fe 12 TIERRAS Y GENTES Una visita a Camerún 14 EL PUNTO DE VISTA BÍBLICO El Paraíso 16 ¿CASUALIDAD O DISEÑO? El sistema de navegación de la aguja colipinta ACTIVIDAD ILUSTRADA Descargue e imprima esta ilus- tración y realice la actividad con sus hijos. Ayúdelos a aprender más sobre los personajes de la Biblia y a tener sólidos principios morales. Vol. 94, No. 1  Monthly  SPANISH Tirada media: 43.524.000 en 98 idiomas Esta publicación se distribuye como parte de una obra mundial de educación bíblica que se sostiene con donativos. Prohibida su venta. A menos que se indique lo contrario, las citas bíblicas se han tomado de la versión en lenguaje moderno Traducción del Nuevo Mundo de las Santas Escrituras (con referencias). Awake! (ISSN 0005-237X) is published monthly by Watchtower Bible and Tract Society of New York, Inc.; L. Weaver, Jr., President; G. F. Simonis, Secretary-Treasurer; 25 Columbia Heights, Brooklyn, NY 11201-2483, and by Watch Tower Bible and Tract Society of Canada, PO Box 4100, Georgetown, ON L7G 4Y4. Periodicals Postage Paid at Brooklyn, N.Y., and at additional mailing offices. POSTMASTER: Send address changes to Awake! 1000 Red Mills Road, Wallkill, NY 12589-3299.  2013 Watch Tower Bible and Tract Society of Pennsylvania. Todos los derechos reservados. Printed in Canada. ¿Desea obtener más información o recibir en su hogar clases bíblicas gratuitas? Visite www.jw.orges o escriba a una de las direcciones indicadas abajo. TESTIGOS DE JEHOVÁ: ESTADOS UNIDOS: 25 Columbia Heights, Brooklyn, NY 11201-2483. CANADÁ: PO Box 4100, Georgetown, ON L7G 4Y4. Encontrará la lista completa de direcciones en www.jw.orgcontact."
3	"Arriba: foto de John Kepsimelis, U.S Coast Guard; centro: gentileza de STRI; abajo: OllukeeAlamy OBSERVANDO EL MUNDO EL GOLFO DE MÉXICO Tras el accidente ocurrido en abril de 2010 en una plataforma petrolífera, enormes cantida- des de petróleo y gas fluyeron al mar durante casi tres meses. Un equipo de investigadores descubrió que dos meses y medio después del accidente ya habían desaparecido algunos de los contaminantes, devorados -según ellos- por bacterias que absorben el metano. Pero al- gunos expertos ven la noticia con cierto escep- ticismo. Ellos opinan que mucho del crudo se ha hundido al fondo del mar. PERÚ Algunas de las mazorcas de maíz más antiguas que se han hallado (como la que se muestra arriba) indican que los habitantes del norte de Perú ya comían palomitas de maíz y harina de maíz hace por lo menos tres mil años. RUSIA Según una encuesta, el 59 de los rusos de entre 18 y 35 años creen que ""para triunfar en la vida, a veces hay que ir en contra de las normas y principios morales de uno"", informa el periódico Rossiiskaya Gazeta. ITALIA Lucio Soravito De Fran- ceschi, obispo católico de Adria-Rovigo, opina que debe darse preferen- cia al ""encuentro directo con las personas"", que el mensaje religioso ha de llevarse adonde vive la gente. Nuestra aten- ción pastoral debería pa- sar de tocar las campa- nas de la iglesia a tocar los timbres de las puer- tas"", dijo él. SUDÁFRICA El precio del cuerno de rinoceronte destinado a fines médi- cos ha ascendido en el mercado negro a 65.000 dólares por kilo (2,2 libras). En 2011, los cazadores furtivos mata- ron, tan solo en Sudáfrica, la cifra récord de 448 rinoceron- tes. En Europa hay bandas que han entrado a robar cuer- nos en museos y salas de subasta; incluso los rinocerontes de los zoológicos corren peligro."
4	"AYUDA PARA LAS FAMILIAS  LA CRIANZA DE LOS HIJOS Cómo comunicarse con su hijo adolescente EL PROBLEMA De niño, le contaba todo; de adolescente, no le cuenta nada. Y si intenta conversar con él, o le res- ponde con palabras suel- tas o frases breves, o inicia una discusión que convier- te su hogar en un campo de batalla. No se desanime: usted puede aprender a hablar con su hijo adolescente. Pero antes debe entender dos factores que contribu- yen al problema. Aunque en este artículo nos referi- mos al adolescente en masculino, los principios tratados son aplicables a ambos sexos. LAS CAUSAS La búsqueda de independencia. Para que su hijo adoles- cente se convierta en un adulto responsable, tiene que pasar gradualmente del asiento del pasajero al del con- ductor -por decirlo así y aprender a conducir por los trai- cioneros caminos de la vida. Claro, hay jóvenes que exigen más libertad de la que deberían tener y hay padres que conceden menos de la que pudieran. La guerra que se de- sata genera gran confusión tanto en unos como en otros. ""Mis padres quieren controlar cada detalle de mi vida -se queja Brad, de 16 años-. Si no me dan más libertad para cuando cumpla los 18, me voy de la casa.' "" La capacidad de razonar las cosas. Los niños peque- ños suelen pensar en términos simples: o es blanco o es negro; los adolescentes, en cambio, están aprendiendo a razonar conceptos más complejos, a percibir las áreas gri- ses, lo cual contribuye a que se conviertan en adultos sensatos. Pongamos un ejemplo para ver la diferencia. El concepto de justicia de un niño es muy simple: si su mamá parte una galleta en dos, él le toca una mitad y a su hermano la otra; en este caso, la justicia se reduce a una fórmula matemática. Pero el adolescente comprende que la cosa no es tan sencilla: ser justo no siempre signifi- ca tratar a todos igual. La capacidad de razonar es lo que le permite enfrentarse a conceptos complejos como este y entenderlos. Solo que hay un inconveniente. Esta capaci- dad puede hacer que también se enfrente a usted.  Se han cambiado los nombres. Hallará más información útil para las familias en www.jw.orges"
5	"LO QUE PUEDE HACER Charle con él siempre que sea posible. Aproveche mo- mentos en que estén relajados. Algunos padres han descubierto que sus hijos adolescentes se abren más fá- cilmente mientras realizan los quehaceres de la casa o mientras van en el automóvil o en el transporte público, es decir, cuando están lado a lado y no frente a frente con ellos. (Principio bíblico: Deuteronomio 6:6, 7.) Vaya al grano. No tiene que tratar de razonar con su hijo hasta que todo termine en una pelea. Diga lo que tenga que decir y deténgase. Más tarde, cuando esté a solas, su hijo ""escuchará"" la mayor parte del mensaje y reflexionará sobre lo que usted le dijo. Solo dele tiempo. (Principio bí- blico: Proverbios 1:1-4.) Escuche y sea flexible. Escuche con atención, sin in- terrumpir, a fin de que pueda ver el cuadro completo. Y cuando le responda, sea razonable. Si impone reglas. demasiado rígidas, su hijo se verá tentado a desobedecer- las sin que usted se entere. Los muchachos comienzan a vivir una doble vida: por un lado les dicen a sus padres lo que quieren oír y por el otro hacen lo que se les antoja cuando no los ven"", advierte el libro Staying Connected to Your Teenager (Mantenga la comunicación con su hijo adolescente). (Principio bíblico: Filipenses 4:5.) Mantenga la calma. ""Cuando mi mamá y yo no esta- mos de acuerdo en algo, todo lo que digo la ofende cuenta una adolescente llamada Kari-. Entonces me molesto, y la conversación termina convirtiéndose en una discusión."" En lugar de reaccionar de forma exagerada, demuéstrele a su hijo que entiende sus sentimientos. Por ejemplo, en vez de decirle: ""Eso no es nada, dígale: ""Pa- rece que te preocupa mucho este asunto"". (Principio bíbli- co: Proverbios 10:19.) Hasta donde sea posible, guíe a su hijo, no le dé la so- lución. La capacidad de razonar de los adolescentes es como un músculo que necesita ejercitarse. Cuando su hijo se enfrente a un problema, deje que lo resuelva, no haga el ejercicio por él. Analicen juntos la cuestión y dele la oportunidad de encontrar soluciones por sí mismo. Una vez que hayan evaluado qué opciones hay, dígale algo como: ""Piénsalo un par de días y luego hablamos sobre la opción que prefieras"". (Principio bíblico: Hebreos 5:14.)  TEXTOS CLAVE ""Todo hombre tiene que ser presto en cuanto a oír, lento en cuanto a hablar, lento en cuanto a ira."" (Santiago 1:19) ""La respuesta, cuando es apa- cible, aparta la furia."" (Prover- bios 15:1) ""No hagan enojar a sus hijos. Más bien edúquenlos y denles enseñanzas cristianas."" (Efe- sios 6:4, Traducción en len- guaje actual) PARA LOS ADOLESCENTES ¿Quieres que tus padres te den más libertad? ¿Te gusta- ría que te entendieran mejor? Tú puedes hacérselo más fá- cil. ¿Cómo? Cuéntales lo que pasa en tu vida. Ábreles tu co- razón. Si les ocultas cosas, con- fiarán menos en ti, y la confian- za es vital para conseguir mayor libertad. No dejes que sean ellos los únicos que hablen. Pon de tu parte: cuéntales qué hiciste du- rante el día y pregúntales cómo les fue a ellos. Por otro lado, si tienes alguna queja, aprende a expresarla con respeto. La co- municación es una habilidad que necesitarás de adulto, así que, ¿por qué no adquirirla desde ahora? ¡Despertad! Enero de 2013 5"
6	貝  ENTREVISTA  PAOLA CHIOZZI HAL 100 Una bioquímica explica por qué tiene fe La doctora Paola Chiozzi lleva más de veinte años trabajando como bióloga molecular en la Universidad de Ferrara (Italia). ¡Despertad! le hizo algunas preguntas sobre sus investigaciones científicas y su fe. Háblenos un poco de su pa- sado. Mi padre era zapatero y mi ma- dre trabajaba en el campo. Pero yo quería ser científica. Me fasci- naba la hermosura de las flores, las aves y los insectos que veía en los alrededores de mi casa. Para mí, todo aquello debía ser producto de alguien con sabidu- ría sobrehumana. ¿Así que siempre ha creído en la existencia de un Creador? No. Empecé a tener dudas sobre la existencia de Dios siendo to- davía niña. Mi padre murió re- pentinamente de un ataque car- díaco, y yo no podía entender cómo era posible que el Creador de tanta belleza permitiera que la gente sufriera y muriera. ¿Le ayudaron sus investigacio- nes científicas a encontrar la respuesta? Al principio no. Cuando llegué a ser bióloga molecular, comencé a estudiar la muerte, es decir, la muerte celular. Hay dos tipos de muerte celular: la no controlada, llamada necrosis, que produce entre otras cosas reacciones in- flamatorias, y la programada, que es la muerte normal que ex- perimentan las células de nues- tro cuerpo. Esta última es la que yo investigo. Hasta hace unos años, los científicos no presta- ban mucha atención a este pro- ceso, pese a que es vital para la salud. ¿Por qué dice que la muerte celular programada es vital para la salud? Nuestro cuerpo está compuesto por billones de células microscó- picas. Prácticamente todas ellas tienen que morir y ser reempla- zadas. No todos los tipos de cé- lula viven el mismo tiempo; al- gunas son reemplazadas cada pocas semanas, y otras, cada pocos años. Para mantener este delicado equilibrio entre muerte y formación celular, el mecanis- mo de muerte celular programa- da tiene que estar muy bien ajustado y controlado.
7	"¿Qué puede salir mal? Algunos estudios indican que cuando las células mueren más tarde de lo que debieran, pue- den sobrevenir enfermedades como la artritis reumatoide o el cáncer. Por otro lado, cuando las células mueren antes de lo que debieran, puede sobrevenir la enfermedad de Parkinson o la de Alzheimer. Mis investigacio- nes van dirigidas a encontrar maneras de tratar estas enfer- medades. ¿Tuvo algún efecto en usted el estudio de la muerte celular? Francamente, me dejó confundi- da. Era obvio que este maravillo- so proceso había sido diseñado por alguien que deseaba que es- tuviésemos sanos. Pero todavía me quedaba pendiente la pre- gunta de por qué sufrimos y mo- rimos. Y no era capaz de encon- trar la respuesta. Como quiera, usted quedó convencida de que la muerte celular programada había sido diseñada, ¿verdad? Sí. Este proceso es de una com- plejidad abrumadora, pero su precisión es tal que refleja una sabiduría extraordinaria. Yo creo que es la sabiduría de Dios. Utili- zando potentes microscopios, estudio los muchos mecanismos que regulan la muerte celular programada. Algunos mecanis- mos pueden activar el proceso en cuestión de segundos si fue- ra necesario. Además, las célu- las desempeñan un papel activo en su propia muerte. El proceso Casi todas nuestras células son reemplazadas regularmente. No hay duda, la vida eterna es posible está tan bien diseñado que es realmente impresionante. Usted tenía preguntas acerca de Dios y el sufrimiento. ¿Cómo encontró las respues- tas? En 1991, dos testigos de Jeho- vá llamaron a mi puerta y les pregunté por qué morimos. Ellos me mostraron la respuesta que da la Biblia en Romanos 5:12: ""Por medio de un solo hombre el pecado entró en el mundo, y la muerte mediante el pecado"". Me hicieron ver que si el primer hombre no hubiera desobedecido a Dios, habría vi- vido para siempre. Enseguida me di cuenta de que aquello ar- monizaba con lo que había aprendido en mis investigacio- nes. Para mí está claro que no era la intención de Dios que la gente muriera. Eso explica por qué casi todas nuestras células son reemplazadas regularmen- te. No hay duda, la vida eterna es posible. ¿Qué la convenció de que la Biblia es la Palabra de Dios? Lo que dice Salmo 139:16: ""Tus ojos vieron hasta mi embrión, y en tu libro todas sus partes esta- ban escritas"". Como bioquímica, estudio la información genética que está ""escrita"" en nuestras células. ¿Cómo sabía eso el sal- mista? Cuanto más aprendía de las Escrituras, más me conven- cía de que estaban inspiradas por Dios. ¿Cómo logró entender lo que la Biblia enseña? Un testigo de Jehová me ofreció clases de la Biblia. Con su ayu- da, por fin aprendí por qué ha permitido Dios el sufrimiento; también aprendí que él ""se tra- gará a la muerte para siempre"" (Isaías 25:8). Para el Creador será fácil hacer que los maravi- llosos mecanismos de nuestro cuerpo funcionen a la perfección de modo que podamos vivir eter- namente. ¿Ha usado su conocimiento de la Biblia para ayudar a otros? Sí. Me hice testigo de Jehová en 1995, y desde entonces he hecho todo lo posible por expli- car al prójimo lo que he aprendi- do de la Biblia. Por ejemplo, una colega mía quedó destrozada cuando su hermano se suicidó. Encima, su Iglesia enseña que Dios no perdona el suicidio. Pero yo le mostré la esperanza bíbli- ca de la resurrección (Juan 5:28, 29). Saber que nuestro Creador, en su amor, ofrece esta posibili- dad la consoló en gran manera. En situaciones como esa, siento que la satisfacción de comunicar las verdades bíblicas a los de- más es muchísimo mayor que la que me produce el conocimiento científico en sí.  ¡Despertad! Enero de 2013 7"
